key	date	value
Bahia	1918	228
Bahia	1919	448
Bahia	1920	84
Bahia	1921	261
Bahia	1922	187
Bahia	1923	119
Bahia	1924	420
Balboa, Canal Zone	1892	0
Balboa, Canal Zone	1893	0
Balboa, Canal Zone	1894	0
Balboa, Canal Zone	1895	0
Balboa, Canal Zone	1896	0
Balboa, Canal Zone	1897	0
Balboa, Canal Zone	1898	0
Balboa, Canal Zone	1899	0
Balboa, Canal Zone	1900	0
Balboa, Canal Zone	1901	0
Balboa, Canal Zone	1902	0
Balboa, Canal Zone	1903	0
Balboa, Canal Zone	1904	0
Balboa, Canal Zone	1905	0
Balboa, Canal Zone	1906	0
Balboa, Canal Zone	1907	0
Balboa, Canal Zone	1908	0
Balboa, Canal Zone	1909	0
Balboa, Canal Zone	1910	0
Balboa, Canal Zone	1911	0
Balboa, Canal Zone	1912	0
Balboa, Canal Zone	1913	0
Balboa, Canal Zone	1914	2
Balboa, Canal Zone	1915	12
Balboa, Canal Zone	1916	0
Balboa, Canal Zone	1917	6
Balboa, Canal Zone	1918	29
Balboa, Canal Zone	1919	137
Balboa, Canal Zone	1920	106
Balboa, Canal Zone	1921	51
Balboa, Canal Zone	1922	34
Balboa, Canal Zone	1923	341
Balboa, Canal Zone	1924	785
Baltimore, Maryland	1892	0
Baltimore, Maryland	1893	0
Baltimore, Maryland	1894	1
Baltimore, Maryland	1895	0
Baltimore, Maryland	1896	0
Baltimore, Maryland	1897	0
Baltimore, Maryland	1898	0
Baltimore, Maryland	1899	0
Baltimore, Maryland	1900	0
Baltimore, Maryland	1901	0
Baltimore, Maryland	1902	0
Baltimore, Maryland	1903	0
Baltimore, Maryland	1904	8
Baltimore, Maryland	1905	0
Baltimore, Maryland	1906	0
Baltimore, Maryland	1907	0
Baltimore, Maryland	1908	0
Baltimore, Maryland	1909	0
Baltimore, Maryland	1910	6
Baltimore, Maryland	1911	2
Baltimore, Maryland	1912	7
Baltimore, Maryland	1913	0
Baltimore, Maryland	1914	1
Baltimore, Maryland	1915	0
Baltimore, Maryland	1916	18
Baltimore, Maryland	1917	102
Baltimore, Maryland	1918	214
Baltimore, Maryland	1919	490
Baltimore, Maryland	1920	752
Baltimore, Maryland	1921	285
Baltimore, Maryland	1922	418
Baltimore, Maryland	1923	237
Baltimore, Maryland	1924	209
Banes, Cuba	1892	0
Banes, Cuba	1893	0
Banes, Cuba	1894	0
Banes, Cuba	1895	0
Banes, Cuba	1896	0
Banes, Cuba	1897	0
Banes, Cuba	1898	0
Banes, Cuba	1899	0
Banes, Cuba	1900	0
Banes, Cuba	1901	0
Banes, Cuba	1902	0
Banes, Cuba	1903	9
Banes, Cuba	1904	17
Banes, Cuba	1905	2
Banes, Cuba	1906	0
Banes, Cuba	1907	33
Banes, Cuba	1908	8
Banes, Cuba	1909	0
Banes, Cuba	1910	126
Banes, Cuba	1911	716
Banes, Cuba	1912	464
Banes, Cuba	1913	665
Banes, Cuba	1914	596
Banes, Cuba	1915	23
Banes, Cuba	1916	85
Banes, Cuba	1917	737
Banes, Cuba	1918	1803
Banes, Cuba	1919	4022
Banes, Cuba	1920	3986
Banes, Cuba	1921	2981
Banes, Cuba	1922	3525
Banes, Cuba	1923	4933
Banes, Cuba	1924	2864
Baracoa, Cuba	1892	70
Baracoa, Cuba	1893	25
Baracoa, Cuba	1894	5
Baracoa, Cuba	1895	31
Baracoa, Cuba	1896	0
Baracoa, Cuba	1897	0
Baracoa, Cuba	1898	0
Baracoa, Cuba	1899	0
Baracoa, Cuba	1900	0
Baracoa, Cuba	1901	0
Baracoa, Cuba	1902	0
Baracoa, Cuba	1903	7
Baracoa, Cuba	1904	16
Baracoa, Cuba	1905	14
Baracoa, Cuba	1906	46
Baracoa, Cuba	1907	70
Baracoa, Cuba	1908	23
Baracoa, Cuba	1909	62
Baracoa, Cuba	1910	22
Baracoa, Cuba	1911	32
Baracoa, Cuba	1912	35
Baracoa, Cuba	1913	4
Baracoa, Cuba	1914	11
Baracoa, Cuba	1915	18
Baracoa, Cuba	1916	16
Baracoa, Cuba	1917	232
Baracoa, Cuba	1918	261
Baracoa, Cuba	1919	409
Baracoa, Cuba	1920	1067
Baracoa, Cuba	1921	886
Baracoa, Cuba	1922	560
Baracoa, Cuba	1923	957
Baracoa, Cuba	1924	1133
Barahona	1892	0
Barahona	1893	0
Barahona	1894	0
Barahona	1895	0
Barahona	1896	0
Barahona	1897	0
Barahona	1898	0
Barahona	1899	0
Barahona	1900	0
Barahona	1901	0
Barahona	1902	0
Barahona	1903	0
Barahona	1904	0
Barahona	1905	0
Barahona	1906	0
Barahona	1907	0
Barahona	1908	0
Barahona	1909	0
Barahona	1910	0
Barahona	1911	0
Barahona	1912	0
Barahona	1913	0
Barahona	1914	0
Barahona	1915	0
Barahona	1916	0
Barahona	1917	0
Barahona	1918	7
Barahona	1919	0
Barahona	1920	95
Barahona	1921	146
Barahona	1922	783
Barahona	1923	654
Barahona	1924	1310
Barcelona	1892	0
Barcelona	1893	0
Barcelona	1894	0
Barcelona	1895	0
Barcelona	1896	0
Barcelona	1897	0
Barcelona	1898	0
Barcelona	1899	0
Barcelona	1900	59
Barcelona	1901	72
Barcelona	1902	62
Barcelona	1903	133
Barcelona	1904	224
Barcelona	1905	355
Barcelona	1906	304
Barcelona	1907	420
Barcelona	1908	196
Barcelona	1909	456
Barcelona	1910	503
Barcelona	1911	515
Barcelona	1912	776
Barcelona	1913	975
Barcelona	1914	1297
Barcelona	1915	947
Barcelona	1916	1613
Barcelona	1917	3298
Barcelona	1918	1902
Barcelona	1919	3125
Barcelona	1920	4686
Barcelona	1921	3276
Barcelona	1922	2668
Barcelona	1923	1491
Barcelona	1924	1413
